Nom entreprise,Substance,Adresse Physique,Téléphone,Email
TWYFORD CERAMICS LIMITED,,"Lot n° 10, Mermoz Météo, Dakar, Sénégal",33 825 88 40,
UNIVERSAL BUSINESS COMPANY,,"Cité , Conachap, Dakar, Dakar, Sénégal",77 828 67 55/ 77 187 32 99,
UNIVERSAL COLORS,,"Site de l'APROSI, Diamniadio, Sénégal",,
UNIVERSAL TRADE,,"USINE BEN TALLY, PARCELLES N°1593, DAKAR, Sénégal",77 647 18 94,ertm.realisations@gmail.com
UNIVERSEL BUSINESS GROUP SENEGAL SARL,,"Almadies, Route de l'Aéroport, Lot n°10, Zone 15, Dakar, 
Sénégal",773185654,
UNIVERSEL SERVICE RAPIDE,,"QRT Yéne Guedji , Bambilor, Dakar, Sénégal",77 645 81 18,"universelservicerapide@gmail.c
om"
URAMIN EXPLORATION LIMITED,,"C/O Walkers Chambers, Road Town, Tortola, Les Iles 
Vierges Britaniques",,
URBAINE D'ENTREPRISE,,"63, Avenue Malick Sy, Dakar, Sénégal",33 842 07 26,
VAPROM AFRICA SA,,,,
VENDOME HOLDING SAU,,"2, RUE DE FATICK, POINT E, DAKAR, Sénégal",,
VIGNESH PRISICA ENTREPRISES SARL,,"VILLA 169, Rue 7 BOPP, DAKAR, Sénégal",76 578 28 23,
WAKEUR SERIGNE TOUBA MINES ET CONSTRUCTION,,"Cité Stiba Villa n°9, Sénégal",776414667,
WARI VENTURES SENEGAL SUARL,,"VILLA N° 204, Sénégal",,
WATIC,,"34 - 36, Boulevard de la République, Dakar, Sénégal",,338675535 watic@orange.sn
WEST AFRICA MINING SARL,,"Liberté 6 Entension, Nord Immeuble Ndoumbé Guéye , 
1er étage Appt 119, Sénégal",76 337 23 24/77 697 35 39,
WEST AFRICAN INVESTMENT HOLDING SA,,"Villa sise Almadies Lot10, Zone 15 Route de l'Aéroport, 33 
820 16 52, mail@westafrican-invest.com / 
waisa@orange.sn , Dakar, BP 11241, Sénégal",33 820 16 52,mail@westafrican-invest.com
"WEST AFRICAN TRADING INVESTMENT 
CONSTRUCTION",,"Dakar, Sénégal",,338675535 watic@orange.sn
WEST WIND SA,,"4e ETAGE, IMMEUBLE ARC EN CIEL, CITE KEUR GORGUI, 
DAKAR, Sénégal",33 824 07 14,
WORLD EXPORT INVESTMENT,,"N°67, ZONE A, DAKAR, Sénégal",33 825 75 15,exportfinance.wei@gmail.com
XELCOM TRADING,,cite SOPRIM EXTENSION N° 231,,xelcomtrading@gmail.com
XEWEL CIMENTERIES,,"Thiès, Sénégal",,
YAN WEST AFRICA INVESTMENT,,"Villa n°3002, Sicap Amitié 1, Sénégal",777 521 302,
YELLOW GROUND SENEGAL SAS,,"Villa n°2396 E,Rue 13 Dieupeul 2, Dakar, Sénégal","2,21784E+11",
YPSOS EXPLOITATION MANAGEMENT CONSTRUCTION,,"N°14/15 HLM PATTE D'OIE, DAKAR, 17871 LIBERTE, 
Sénégal",,"2,21339E+11 ypsos.sarl@yahoo.fr"
ZAHRA,,"106, Avenue du président Lamine GUEYE, Dakar-SN, 
Dakar, Sénégal",338791640,
ZELTEX SENEGAL SA,,"4, Route de la Corniche Ouest, Fann Hock, Dakar, BP 
45464, Sénégal",338212500,
ZEYNA TRANSPORTS-IMMO-CONSTRUCTIONS,,"Parcelles Assainnies, Unité 5, Keur Massar, Dakar, Sénégal 77 164 96 96",,
ZHONGSAI,,"VILLA 4219, 2e étage, POINT E, RUE 33, DAKAR, Sénégal",338645503,
,,,,
